Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
123,16.557,Yes,0.771,Yes,6,Yes,-17.65,174.65,-179.33,1.93,0.00,NONE,Yes,No,0.13,person_box_geometric,50.7,85.4,False_Positive,
124,16.683,Yes,0.726,Yes,6,Yes,-17.09,173.49,-179.59,1.90,0.00,NONE,Yes,No,0.24,person_box_geometric,32.4,84.4,True_Positive,
125,16.798,Yes,0.752,Yes,6,Yes,-14.89,174.35,-179.70,1.88,0.00,NONE,Yes,No,0.37,person_box_geometric,50.5,84.2,False_Positive,
126,16.926,Yes,0.695,Yes,6,Yes,-15.24,173.55,-179.59,1.88,0.00,NONE,Yes,No,0.49,person_box_geometric,31.9,84.9,True_Positive,
127,17.042,Yes,0.643,Yes,6,Yes,-40.48,-179.17,-179.65,7.94,0.00,NONE,No,No,0.00,person_box_geometric,47.5,84.4,False_Positive,
128,17.168,Yes,0.541,Yes,6,Yes,-26.07,178.01,-179.04,7.50,0.00,NONE,No,No,0.00,person_box_geometric,32.4,84.0,True_Positive,
129,17.293,Yes,0.598,Yes,6,Yes,-19.55,-179.19,-179.99,7.50,0.00,NONE,Yes,No,0.00,person_box_geometric,32.6,83.2,True_Positive,
130,17.420,Yes,0.583,Yes,6,Yes,-40.19,-179.18,-179.65,7.94,0.00,NONE,No,No,0.00,person_box_geometric,32.0,84.2,True_Positive,
131,17.546,Yes,0.581,Yes,6,Yes,-32.33,-178.69,-179.09,7.50,0.00,NONE,No,No,0.00,person_box_geometric,33.2,84.3,True_Positive,
132,17.672,Yes,0.636,Yes,6,Yes,-39.89,-179.18,-179.65,7.94,0.00,NONE,No,No,0.00,person_box_geometric,31.8,83.6,True_Positive,
133,17.797,Yes,0.608,Yes,6,Yes,-34.05,178.17,-179.44,7.94,0.00,NONE,No,No,0.00,person_box_geometric,34.1,84.1,True_Positive,
134,17.924,Yes,0.591,Yes,6,Yes,-1.78,-179.79,179.28,8.44,0.00,NONE,Yes,No,0.00,person_box_geometric,31.4,83.5,True_Positive,
135,18.051,Yes,0.640,Yes,6,Yes,-25.25,177.87,-179.04,7.50,0.00,NONE,No,No,0.00,person_box_geometric,31.6,84.6,True_Positive,
136,18.176,Yes,0.643,Yes,6,Yes,-26.69,176.38,-179.75,7.11,0.00,NONE,No,No,0.00,person_box_geometric,33.1,83.6,True_Positive,
137,18.291,Yes,0.515,Yes,6,Yes,27.77,-179.08,178.37,3.00,0.00,NONE,No,No,0.00,person_box_geometric,52.5,84.2,False_Negative,
138,18.417,Yes,0.522,Yes,6,Yes,-20.60,177.90,-179.53,2.25,0.00,NONE,No,No,0.00,person_box_geometric,31.9,83.8,True_Positive,
139,18.543,Yes,0.422,Yes,6,Yes,-41.17,177.87,-178.01,2.55,0.00,NONE,No,No,0.00,person_box_geometric,32.7,84.7,True_Positive,
140,18.669,Yes,0.405,Yes,6,Yes,-56.49,179.11,-177.36,3.21,0.00,NONE,No,No,0.00,person_box_geometric,33.2,84.3,True_Positive,
141,18.783,Yes,0.479,Yes,6,Yes,18.31,-179.63,178.80,2.93,0.00,NONE,Yes,No,0.00,person_box_geometric,52.5,84.0,False_Positive,
142,18.909,Yes,0.411,Yes,6,Yes,-41.98,179.61,-178.99,2.87,0.00,NONE,No,No,0.00,person_box_geometric,32.4,83.8,True_Positive,
143,19.024,Yes,0.337,Yes,6,Yes,-15.42,168.29,-179.79,1.93,0.00,NONE,Yes,No,0.00,person_box_geometric,50.9,84.6,False_Positive,
144,19.152,Yes,0.690,Yes,6,Yes,-16.85,174.76,-179.59,2.11,0.00,NONE,Yes,No,0.12,person_box_geometric,32.1,85.7,True_Positive,
145,19.267,Yes,0.465,Yes,6,Yes,-15.71,174.96,-179.83,2.11,0.00,NONE,Yes,No,0.24,person_box_geometric,52.5,84.0,False_Positive,
146,19.393,Yes,0.383,Yes,6,Yes,-17.78,174.34,-179.46,2.18,0.00,NONE,Yes,No,0.36,person_box_geometric,32.5,84.0,True_Positive,
147,19.509,Yes,0.673,Yes,6,Yes,-15.91,176.02,-179.85,2.18,0.00,NONE,Yes,No,0.48,person_box_geometric,51.9,85.1,False_Positive,
148,19.634,Yes,0.529,Yes,6,Yes,-14.96,172.05,-179.88,2.05,0.00,NONE,Yes,No,0.60,person_box_geometric,33.1,84.7,True_Positive,
149,19.760,Yes,0.409,Yes,6,Yes,-15.54,167.34,-179.78,1.85,0.00,NONE,Yes,No,0.73,person_box_geometric,33.2,83.9,True_Positive,
150,19.871,Yes,0.507,Yes,6,Yes,-15.38,175.33,-179.88,2.18,0.00,NONE,Yes,No,0.85,person_box_geometric,50.5,80.7,False_Positive,
151,19.996,Yes,0.567,Yes,6,Yes,-14.14,171.24,-179.85,1.99,0.00,NONE,Yes,No,0.96,person_box_geometric,32.6,83.2,True_Positive,
152,20.112,Yes,0.405,Yes,6,Yes,-14.16,172.29,-179.79,1.99,0.00,NONE,Yes,No,1.09,person_box_geometric,49.9,84.3,False_Positive,
153,20.238,Yes,0.640,Yes,6,Yes,-15.45,171.08,-179.80,1.96,0.00,NONE,Yes,No,1.20,person_box_geometric,32.8,84.0,True_Positive,
154,20.353,Yes,0.641,Yes,6,Yes,-16.13,174.95,-179.62,2.18,0.00,NONE,Yes,No,1.33,person_box_geometric,49.5,84.2,False_Positive,
155,20.480,Yes,0.747,Yes,6,Yes,-14.61,175.17,-179.88,2.18,0.00,NONE,Yes,No,1.44,person_box_geometric,31.9,84.8,True_Positive,
